mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5044918
analysis_id,1zqpn5a3fsw8p4n
parameter_id,ESLIM_014_001_008
gene_symbol,Zmynd8
parameter_name,Cornea vascularisation
gene_accession_id,MGI:1918025
