parameter_name,cDCs CD11b Type
gene_symbol,Traf6
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
pvalue,0.976913
parameter_id,IMPC_IMM_073_001
mouse_strain,C57BL
analysis_id,n8ms4m49sp5l95p
