gene_symbol,Clvs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_062_001
pvalue,0.9111667
gene_accession_id,MGI:1921688
analysis_id,879f70036160775
parameter_name,Right total retinal thickness
