analysis_id,o1d6n1526n0x2p2
gene_accession_id,MGI:1924054
pvalue,0.08737068
gene_symbol,Kdm4c
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
mouse_strain,C57BL
mouse_life_stage,Early adult
