parameter_name,Fat/Body weight
gene_symbol,Cds2
parameter_id,IMPC_DXA_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
pvalue,0.7371718
analysis_id,m23kk416bkou7g3
mouse_strain,C57BL
