parameter_name,Respiration Rate
analysis_id,3w1epc861198e47
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
pvalue,0.8690167
