parameter_id,MGP_MLN_066_001
analysis_id,78xw3y8wmdbf524
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Dmap1
pvalue,0.05473591
mouse_strain,C57BL
