analysis_id,a95886n317ktp2g
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
pvalue,0.6339507
