parameter_name,Limb grasping
gene_accession_id,MGI:99501
pvalue,0.4499234
analysis_id,4x6y733v83mz1y9
mouse_life_stage,E15.5
gene_symbol,Fgb
parameter_id,ESLIM_008_001_017
mouse_strain,C57BL
