gene_symbol,Cisd2
pvalue,0.4741966
gene_accession_id,MGI:1914256
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_006_001
analysis_id,jq6w6n86430s9g2
