gene_symbol,Jun
gene_accession_id,MGI:96646
mouse_strain,C57BL
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
analysis_id,f4bt3m5745i5lq4
mouse_life_stage,E15.5
pvalue,0.6896889
