analysis_id,v1ombkmkc27ytop
pvalue,0.8248261
parameter_name,Lean mass
gene_accession_id,MGI:2673000
gene_symbol,Trim46
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
