analysis_id,cl8or6q30rvho76
parameter_id,ESLIM_007_001_006
mouse_strain,C57BL
pvalue,0.2950679
parameter_name,Periphery distance travelled
gene_symbol,Frmpd1
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
