analysis_id,mj77g19yz526y44
parameter_name,Periphery resting time
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
pvalue,0.2986028
