parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:2443129
pvalue,0.5016095
mouse_strain,C57BL
gene_symbol,Golm2
mouse_life_stage,Early adult
analysis_id,q0kwca1m98x3384
parameter_name,Alanine aminotransferase
