mouse_strain,C3H
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Mecom
gene_accession_id,MGI:95457
pvalue,0.6978129
parameter_id,MGP_MLN_010_001
analysis_id,36tpq9t16o6jv40
mouse_life_stage,Early adult
