analysis_id,qp6ns4ut6k8jotx
mouse_strain,C57BL
gene_accession_id,MGI:88071
parameter_name,B cell number
parameter_id,MGP_PBI_034_001
pvalue,0.5404121
gene_symbol,Arnt
mouse_life_stage,Early adult
