gene_symbol,Kifap3
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Early adult
pvalue,0.7242021
gene_accession_id,MGI:107566
mouse_strain,C57BL
parameter_id,MGP_BMI_014_001
analysis_id,1m4v2wlp68z84j1
