parameter_name,Respiration Rate
pvalue,0.7902283
parameter_id,IMPC_ECH_018_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
gene_symbol,Frmpd1
analysis_id,pk4d95031cisb91
