analysis_id,x84arlgnq9fkcpa
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.4464551
gene_symbol,Zmynd8
mouse_strain,C57BL
gene_accession_id,MGI:1918025
parameter_id,IMPC_FEA_003_001
mouse_life_stage,Early adult
