gene_symbol,Kdm5b
parameter_id,IMPC_ECG_028_001
analysis_id,9lt0hx1610c5336
mouse_life_stage,Early adult
parameter_name,QT
gene_accession_id,MGI:1922855
pvalue,0.8962127
mouse_strain,C57BL
