gene_symbol,Pld1
gene_accession_id,MGI:109585
pvalue,0.6699929
analysis_id,dju80xf27i7xu6z
mouse_life_stage,Early adult
parameter_name,Tremor
mouse_strain,C57BL
parameter_id,TCPLA_CSD_030_001
