gene_symbol,Nemp2
parameter_name,Follicular B cells - % of B2 cells
mouse_strain,C57BL
analysis_id,11812i3h57k6j80
mouse_life_stage,Early adult
parameter_id,MGP_IMM_048_001
gene_accession_id,MGI:2444113
pvalue,0.9156164
