parameter_id,TCPLA_XRY_033_001
analysis_id,6u53x262jxv9to9
pvalue,0.7500851
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_name,Tibia length
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
