gene_symbol,Etfdh
pvalue,0.264472
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
analysis_id,qjcdq4311w4x733
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_name,Retinal Blood Vessels
