analysis_id,o97xsa5oeu2vpox
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
gene_accession_id,MGI:88380
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD45+
pvalue,0.8567251
gene_symbol,F2
