gene_symbol,Gpr39
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,vfl4ul698z471wp
mouse_life_stage,Early adult
pvalue,0.2105699
gene_accession_id,MGI:1918361
