parameter_name,Head coat/hair presence
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:88479
analysis_id,903393z8nf2m137
gene_symbol,Cpa3
pvalue,0.7388229
mouse_life_stage,Early adult
mouse_strain,C57BL
