analysis_id,chb06uq75u5v075
parameter_id,ESLIM_014_001_008
gene_symbol,Tatdn3
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
pvalue,0.2122405
gene_accession_id,MGI:1916222
mouse_strain,C57BL
