gene_symbol,Toporsl
analysis_id,k9240wrh5k51t4a
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.816025
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
parameter_id,JAXLA_EYE_092_001
