analysis_id,1d6of7a8u70hv71
pvalue,0.7871876
gene_accession_id,MGI:1338022
parameter_name,Lumbar processes
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
gene_symbol,Opn3
