parameter_name,Global prepulse inhibition
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_id,ESLIM_011_001_705
analysis_id,vk90ru82793m852
mouse_strain,C57BL
pvalue,0.8363123
