analysis_id,2ed7j0bo35v298q
pvalue,0.8493331
gene_symbol,Zc2hc1a
mouse_strain,C57BL
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
