parameter_name,Latency to center entry
gene_symbol,Slc2a8
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8117439
gene_accession_id,MGI:1860103
analysis_id,e943411o5lt0071
parameter_id,IMPC_OFD_018_001
