gene_symbol,Ift74
analysis_id,r698n8415y45d82
pvalue,0.5419331
mouse_strain,C57BL
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
