gene_symbol,Nipal3
parameter_id,IMPC_IMM_067_001
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.8263772
parameter_name,Follicular B Cells (CD21/35+)
analysis_id,5l51789l2x14k86
gene_accession_id,MGI:1921802
