parameter_name,Facial Morphology
analysis_id,e1a6m6a49tbdpm8
mouse_life_stage,Early adult
pvalue,0.8686798
mouse_strain,C57BL
gene_accession_id,MGI:2685266
parameter_id,IMPC_GEP_017_001
gene_symbol,Pglyrp3
