analysis_id,f5604t79yoz661o
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neutrophil percentage
gene_accession_id,MGI:1922855
parameter_id,MGP_PBI_019_001
gene_symbol,Kdm5b
pvalue,0.7081062
