analysis_id,vb30lt9j514m75v
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_name,Cleft palate
pvalue,0.8223149
