analysis_id,8r4079f7v23e792
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
gene_symbol,Kcng1
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
pvalue,0.367392
gene_accession_id,MGI:3616086
