analysis_id,c1jl912wlt3629k
pvalue,0.9466904
parameter_name,Periphery resting time
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_011_001
gene_symbol,Tox
mouse_strain,C57BL
gene_accession_id,MGI:2181659
