parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:1336200
analysis_id,k4vmf43311k077e
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.9210086
mouse_life_stage,Early adult
