analysis_id,z9070fh43192n1p
gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
parameter_name,Startle response
pvalue,0.1650953
gene_accession_id,MGI:1924054
