gene_symbol,Zcchc2
parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8hv7513075n522o
gene_accession_id,MGI:2444114
pvalue,0.8695338
