gene_symbol,Cntfr
gene_accession_id,MGI:99605
pvalue,0.1735622
mouse_strain,129SV
parameter_id,IMPC_ACS_034_001
analysis_id,19efwedg89t1kts
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
