gene_symbol,Usp37
parameter_name,IgD+ mature B cell number
analysis_id,ev3fo9292w18y51
pvalue,0.7532652
parameter_id,MGP_PBI_035_001
gene_accession_id,MGI:2442483
mouse_strain,C57BL
mouse_life_stage,Early adult
