analysis_id,jtdth7ls3y326rb
mouse_life_stage,Early adult
gene_symbol,Ntmt2
pvalue,0.5518433
parameter_name,Weight
mouse_strain,C50BL
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:2685053
