parameter_name,Iris/Pupil
gene_symbol,Mgst2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
pvalue,0.3983931
parameter_id,IMPC_EYE_010_001
analysis_id,iby53trk46y2h3i
