gene_symbol,Lcn2
analysis_id,3a8l4082xodt1v8
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:96757
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3875474
parameter_id,MGP_MLN_032_001
