parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
analysis_id,75to1x02462y107
pvalue,1.329062
