parameter_name,White blood cell-count
pvalue,0.8589948
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:1929242
gene_symbol,Ivd
analysis_id,4113w3pl8o0pj8o
mouse_strain,C57BL
