parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
analysis_id,0vupv372151n5jy
pvalue,0.2652673
gene_symbol,Lpgat1
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_name,Center permanence time
