analysis_id,92929173g5b3713
parameter_id,MGP_PBI_004_001
pvalue,0.3119072
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,RUFY4
parameter_name,CD8+ alpha beta T cell percentage
