parameter_name,center - distance
gene_symbol,Cds2
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
pvalue,0.2362964
analysis_id,9fgj898kcald3w5
mouse_strain,129SV
