parameter_name,Body Weight
gene_symbol,Morn5
mouse_strain,C57BL
pvalue,0.4152911
parameter_id,M-G-P_012_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
analysis_id,dcqd119msw3z39h
