analysis_id,k102c952ivn74fc
pvalue,0.5483066
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_symbol,Cpa3
gene_accession_id,MGI:88479
mouse_strain,C57BL
