parameter_id,IMPC_ABR_006_001
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_name,12kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_accession_id,MGI:891989
pvalue,0.7250361
analysis_id,837754k10i76auz
