parameter_name,Sodium
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
analysis_id,11u93062ie99gh4
pvalue,0.1069223
mouse_strain,C57BL
parameter_id,IMPC_CBC_001_001
