analysis_id,fwxw95xvr9yqvoz
parameter_id,IMPC_GRS_011_001
gene_symbol,Bmi1
pvalue,0.8446882
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:88174
