gene_symbol,Zyg11b
pvalue,0.964006
mouse_strain,C57BL
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
analysis_id,82ep5r3i38g2n7i
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_005_002
