analysis_id,x258jvqsjieq597
mouse_life_stage,E9.5
parameter_id,M-G-P_009_001_003
pvalue,0.4454193
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_name,Body weight
