analysis_id,an7560f1y389ae7
gene_accession_id,MGI:2651854
pvalue,0.488155
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_032_001
gene_symbol,Atg4c
mouse_strain,C57BL
parameter_name,CD8 CD44+CD62L- T cells
