parameter_name,Creatinine
gene_symbol,Frmpd1
analysis_id,cm9d461zj91d89j
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:2446274
pvalue,0.8777169
