gene_symbol,Tox
parameter_id,ESLIM_005_001_005
parameter_name,Bone Mineral Content
analysis_id,2oe9s0ou34vn7fp
pvalue,0.6115839
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
mouse_strain,C57BL
